ID,W,H
2140,421,325
2141,327,81
2142,135,233
2143,449,171
2144,451,269
2145,255,409
2146,333,123
2147,237,275
2148,247,91
2149,265,203
2150,387,325
2151,167,489
2152,101,219
2153,435,71
2154,251,435
2155,423,215
2156,215,407
2157,333,147
2158,121,93
2159,309,227
2160,145,361
2161,487,477
2162,263,399
2163,159,149
2164,387,449
2165,97,393
2166,83,465
2167,85,219
2168,439,487
2169,315,243
2170,391,295
2171,167,415
2172,345,111
2173,275,341
2174,251,129
2175,79,211
2176,243,195
2177,159,171
2178,297,111
2179,135,153
2180,471,115
2181,237,457
2182,429,467
2183,103,353
2184,167,401
2185,121,309
2186,273,117
2187,113,243
2188,135,483
2189,209,81
2190,219,431
2191,61,265
2192,229,87
2193,133,195
2194,361,69
2195,437,445
2196,175,99
2197,67,183
2198,151,245
2199,221,163
2200,121,151
2201,173,421
2202,313,203
2203,487,161
2204,181,157
2205,479,145
2206,369,303
2207,89,169
2208,109,189
2209,499,121
2210,125,179
2211,403,351
2212,167,489
2213,69,435
2214,391,353
2215,81,487
2216,381,163
2217,459,453
2218,75,95
2219,261,405
2220,311,77
2221,133,149
2222,439,99
2223,209,377
2224,363,207
2225,297,95
2226,165,73
2227,289,107
2228,195,475
2229,305,363
2230,325,433
2231,175,261
2232,491,491
2233,229,143
2234,371,63
2235,377,409
2236,483,219
2237,205,235
2238,205,99
2239,299,277
2240,451,349
2241,479,269
2242,405,495
2243,467,479
2244,291,461
2245,63,371
2246,169,453
2247,459,343
2248,65,411
2249,139,85
2250,189,205
2251,317,279
2252,365,361
2253,147,205
2254,207,463
2255,235,133
2256,339,249
2257,231,185
2258,71,99
2259,65,395
2260,71,93
2261,231,339
2262,63,115
2263,101,497
2264,183,131
2265,397,485
2266,203,231
2267,305,79
2268,293,299
2269,401,367
2270,329,77
2271,321,83
2272,315,393
2273,357,445
2274,111,93
2275,249,265
2276,441,261
2277,111,385
2278,493,165
2279,85,331
2280,111,115
2281,277,471
2282,227,247
2283,489,219
2284,249,405
2285,255,499
2286,243,405
2287,183,153
2288,85,385
2289,385,493
2290,345,441
2291,61,195
2292,331,329
2293,99,129
2294,411,389
2295,445,325
2296,169,463
2297,241,249
2298,197,499
2299,309,133
2300,339,403
2301,397,107
2302,239,235
2303,481,351
2304,277,117
2305,345,121
2306,247,273
2307,193,415
2308,71,483
2309,231,277
2310,143,143
2311,443,133
2312,307,259
2313,91,441
2314,357,153
2315,255,127
2316,295,287
2317,213,185
2318,135,115
2319,485,105
2320,273,457
2321,193,397
2322,475,281
2323,371,157
2324,389,223
2325,111,279
2326,133,343
2327,317,277
2328,303,247
2329,159,247
2330,167,197
2331,239,189
2332,433,423
2333,385,173
2334,273,441
2335,391,91
2336,491,301
2337,453,127
2338,395,203
2339,137,495
2340,121,363
2341,279,415
2342,275,105
2343,399,493
2344,141,223
2345,295,113
2346,91,293
2347,341,295
2348,231,429
2349,211,393
2350,447,177
2351,417,213
2352,123,185
2353,135,171
2354,109,93
2355,365,165
2356,249,459
2357,353,401
2358,253,81
2359,201,387
2360,103,125
2361,139,481
2362,229,269
2363,309,265
2364,479,89
2365,131,257
2366,327,265
2367,159,139
2368,253,403
2369,463,469
2370,411,297
2371,487,365
2372,483,143
2373,189,267
2374,379,387
2375,473,141
2376,483,477
2377,119,257
2378,99,87
2379,243,479
2380,427,359
2381,77,327
2382,157,85
2383,495,97
2384,179,67
2385,179,403
2386,201,319
2387,459,433
2388,295,137
2389,303,295
2390,223,213
2391,77,435
2392,455,127
2393,363,89
2394,275,415
2395,471,373
2396,397,391
2397,491,67
2398,315,197
2399,287,159
2400,417,99
2401,345,233
2402,71,189
2403,311,163
2404,337,245
2405,397,153
2406,75,419
2407,455,287
2408,169,483
2409,101,459
2410,201,357
2411,101,127
2412,237,245
2413,415,287
2414,111,481
2415,291,209
2416,433,69
2417,141,351
2418,445,249
2419,343,277
2420,197,91
2421,215,351
2422,459,171
2423,207,189
2424,73,103
2425,495,311
2426,347,155
2427,237,473
2428,103,265
2429,385,319
2430,365,473
2431,263,469
2432,65,245
2433,169,469
2434,433,347
2435,275,333
2436,91,65
2437,385,227
2438,111,327
2439,451,175
2440,143,481
2441,499,337
2442,227,71
2443,279,405
2444,63,485
2445,217,195
2446,133,495
2447,165,409
2448,265,405
2449,493,445
2450,311,415
2451,325,191
2452,83,381
2453,255,81
2454,99,249
2455,377,353
2456,499,143
2457,69,369
2458,335,129
2459,195,355
2460,113,169
2461,323,237
2462,95,115
2463,289,119
2464,493,437
2465,283,131
2466,323,443
2467,203,199
2468,323,235
2469,279,417
2470,63,161
2471,109,61
2472,381,65
2473,181,203
2474,129,69
2475,351,277
2476,267,431
2477,259,121
2478,301,473
2479,481,459
2480,433,265
2481,121,259
2482,383,301
2483,69,457
2484,499,299
2485,177,473
2486,195,375
2487,473,71
2488,209,481
2489,421,249
2490,191,413
2491,105,405
2492,147,95
2493,77,161
2494,453,331
2495,499,283
2496,241,337
2497,475,139
2498,449,239
2499,61,115
2500,65,439
2501,363,79
2502,329,283
2503,125,131
2504,347,153
2505,269,137
2506,83,479
2507,95,255
2508,73,155
2509,209,221
2510,291,239
2511,463,149
2512,279,61
2513,179,445
2514,195,169
2515,395,495
2516,185,127
2517,93,497
2518,333,377
2519,81,249
2520,229,299
2521,203,71
2522,493,455
2523,151,489
2524,441,335
2525,323,421
2526,489,291
2527,233,139
2528,435,159
2529,463,391
2530,221,105
2531,337,275
2532,125,269
2533,231,323
2534,383,321
2535,195,143
2536,399,301
2537,291,441
2538,95,447
2539,309,347
2540,267,71
2541,373,165
2542,95,387
2543,209,161
2544,171,301
2545,327,305
2546,93,323
2547,91,79
2548,279,307
2549,347,309
2550,291,115
2551,67,145
2552,207,283
2553,349,499
2554,433,79
2555,227,361
2556,387,321
2557,119,431
2558,323,291
2559,291,177
2560,283,257
2561,215,301
2562,151,465
2563,95,265
2564,203,187
2565,441,281
2566,397,111
2567,161,455
2568,169,473
2569,185,107
2570,171,471
2571,427,443
2572,447,61
2573,65,273
2574,387,463
2575,415,145
2576,61,169
2577,211,175
2578,383,253
2579,133,405
2580,151,325
2581,111,255
2582,407,443
2583,153,103
2584,417,427
2585,473,65
2586,389,303
2587,423,111
2588,411,325
2589,141,325
2590,491,75
2591,237,479
2592,239,499
2593,431,471
2594,345,139
2595,99,367
2596,129,465
2597,299,199
2598,425,255
2599,255,441
2600,79,383
2601,385,109
2602,359,449
2603,481,111
2604,345,235
2605,317,213
2606,347,431
2607,367,195
2608,359,95
2609,417,121
2610,193,467
2611,349,67
2612,265,149
2613,483,253
2614,225,69
2615,163,459
2616,423,183
2617,393,109
2618,183,477
2619,65,101
2620,321,87
2621,229,407
2622,493,159
2623,469,453
2624,375,87
2625,153,367
2626,487,461
2627,117,155
2628,257,365
2629,279,165
2630,165,331
2631,403,71
2632,211,471
2633,463,221
2634,343,119
2635,67,319
2636,499,331
2637,471,423
2638,159,461
2639,221,197
2640,155,395
2641,189,127
2642,269,435
2643,287,373
2644,279,231
2645,425,117
2646,331,337
2647,403,331
2648,395,243
2649,367,351
2650,171,227
2651,227,169
2652,317,491
2653,337,81
2654,363,489
2655,93,91
2656,181,155
2657,403,95
2658,289,155
2659,263,91
2660,193,339
2661,141,75
2662,289,265
2663,357,369
2664,113,415
2665,289,421
2666,245,351
2667,419,315
2668,445,453
2669,357,215
2670,221,223
2671,257,191
2672,307,333
2673,101,421
2674,473,81
2675,461,323
2676,465,361
2677,229,367
2678,495,63
2679,273,337
2680,373,407
2681,443,89
2682,309,383
2683,309,61
2684,237,295
2685,269,307
2686,213,103
2687,89,145
2688,451,407
2689,315,123
2690,417,439
2691,421,449
2692,221,257
2693,289,493
2694,387,213
2695,355,259
2696,243,181
2697,381,427
2698,151,145
2699,459,333
2700,395,361
2701,317,263
2702,295,175
2703,297,353
2704,351,303
2705,477,275
2706,327,433
2707,273,155
2708,351,249
2709,217,347
2710,209,141
2711,205,375
2712,399,111
2713,397,227
2714,199,149
2715,145,435
2716,485,181
2717,301,235
2718,155,215
2719,329,79
2720,455,213
2721,89,455
2722,399,201
2723,341,219
2724,187,403
2725,423,177
2726,177,471
2727,421,489
2728,175,301
2729,331,121
2730,397,103
2731,433,161
2732,413,381
2733,75,301
2734,253,181
2735,215,247
2736,161,397
2737,205,141
2738,113,101
2739,305,213
2740,401,391
2741,95,119
2742,303,249
2743,399,395
2744,259,449
2745,305,239
2746,435,323
2747,325,135
2748,79,415
2749,177,149
2750,381,115
2751,425,385
2752,107,403
2753,251,139
2754,455,493
2755,461,85
2756,71,151
2757,273,363
2758,339,169
2759,335,251
2760,423,169
2761,369,221
2762,473,197
2763,245,207
2764,157,77
2765,409,203
2766,493,163
2767,297,445
2768,251,117
2769,419,327
2770,109,391
2771,101,267
2772,217,293
2773,301,109
2774,331,485
2775,387,483
2776,415,481
2777,315,233
2778,281,239
2779,133,173
2780,297,369
2781,387,445
2782,319,215
2783,81,87
2784,105,129
2785,349,75
2786,409,397
2787,181,395
2788,79,203
2789,361,303
2790,259,147
2791,499,417
2792,403,165
2793,447,95
2794,81,141
2795,273,159
2796,297,229
2797,257,185
2798,313,65
2799,103,129
2800,373,273
2801,129,135
2802,107,497
2803,431,61
2804,371,499
2805,253,427
2806,417,147
2807,353,475
2808,363,175
2809,405,111
2810,437,259
2811,389,455
2812,469,171
2813,311,113
2814,267,177
2815,417,389
2816,481,293
2817,207,247
2818,95,209
2819,217,185
2820,471,455
2821,217,65
2822,197,175
2823,459,155
2824,205,433
2825,263,119
2826,87,493
2827,481,251
2828,497,419
2829,471,149
2830,101,231
2831,315,271
2832,189,107
2833,215,443
2834,417,81
2835,455,277
2836,491,111
2837,351,437
2838,175,161
2839,391,361
2840,81,181
2841,455,71
2842,281,339
2843,95,437
2844,455,369
2845,197,181
2846,209,105
2847,119,253
2848,467,95
2849,205,157
2850,287,477
2851,201,133
2852,405,359
2853,377,401
2854,401,115
2855,111,95
2856,361,373
2857,79,497
2858,469,63
2859,265,497
2860,375,95
2861,153,273
2862,253,147
2863,479,303
2864,321,199
2865,495,347
2866,491,495
2867,127,237
2868,227,201
2869,297,445
2870,389,153
2871,85,67
2872,247,283
2873,175,319
2874,351,383
2875,345,489
2876,441,371
2877,203,269
2878,199,347
2879,271,187
2880,295,93
2881,363,349
2882,109,455
2883,143,85
2884,241,229
2885,71,271
2886,403,181
2887,473,129
2888,439,391
2889,421,205
2890,231,401
2891,307,331
2892,359,347
2893,69,189
2894,109,427
2895,371,205
2896,65,271
2897,493,381
2898,267,61
2899,203,129
2900,483,107
2901,343,161
2902,101,193
2903,349,261
2904,269,419
2905,235,119
2906,99,295
2907,445,139
2908,461,393
2909,331,183
2910,255,435
2911,141,85
2912,429,475
2913,265,163
2914,91,457
2915,137,135
2916,271,269
2917,415,185
2918,287,475
2919,117,479
2920,375,369
2921,279,273
2922,481,143
2923,449,95
2924,103,189
2925,405,429
2926,151,243
2927,223,293
2928,471,295
2929,339,373
2930,123,195
2931,339,429
2932,449,151
2933,283,233
2934,331,183
2935,111,109
2936,375,75
2937,441,421
2938,189,277
2939,405,237
2940,277,247
2941,305,479
2942,395,153
2943,413,331
2944,231,355
2945,273,317
2946,421,467
2947,333,309
2948,409,99
2949,129,227
2950,433,327
2951,427,269
2952,307,359
2953,345,109
2954,121,219
2955,273,307
2956,95,85
2957,321,443
2958,97,387
2959,487,431
2960,255,71
2961,291,155
2962,399,253
2963,257,71
2964,469,155
2965,421,281
2966,229,363
2967,107,415
2968,131,199
2969,345,133
2970,357,445
2971,63,135
2972,387,345
2973,233,183
2974,273,167
2975,453,93
2976,393,215
2977,307,189
2978,435,361
2979,415,199
2980,411,313
2981,391,211
2982,127,327
2983,311,85
2984,331,427
2985,61,361
2986,275,343
2987,425,159
2988,385,171
2989,363,85
2990,455,181
2991,127,461
2992,243,419
2993,427,339
2994,309,207
2995,167,361
2996,425,253
2997,203,187
2998,105,149
2999,243,411
3000,455,353
3001,295,169
3002,379,375
3003,407,211
3004,217,485
3005,471,423
3006,281,261
3007,349,227
3008,153,347
3009,221,251
3010,479,217
3011,123,147
3012,273,393
3013,237,145
3014,457,107
3015,379,121
3016,485,149
3017,325,227
3018,439,457
3019,413,335
3020,133,467
3021,387,401
3022,109,159
3023,453,283
3024,283,465
3025,261,127
3026,377,379
3027,135,421
3028,243,443
3029,485,241
3030,401,475
3031,127,379
3032,391,281
3033,425,67
3034,343,317
3035,293,421
3036,467,319
3037,259,345
3038,453,103
3039,409,251
3040,149,389
3041,457,491
3042,361,355
3043,447,185
3044,427,393
3045,455,67
3046,341,487
3047,177,173
3048,439,163
3049,333,445
3050,137,93
3051,169,333
3052,105,493
3053,345,399
3054,99,159
3055,271,371
3056,101,325
3057,171,129
3058,77,315
3059,195,485
3060,141,389
3061,159,407
3062,493,319
3063,157,291
3064,435,119
3065,229,95
3066,307,127
3067,327,425
3068,103,337
3069,283,169
3070,441,181
3071,215,259
3072,321,337
3073,385,357
3074,63,483
3075,199,93
3076,349,129
3077,449,215
3078,367,277
3079,419,219
3080,423,207
3081,89,161
3082,87,211
3083,405,237
3084,65,473
3085,445,231
3086,265,195
3087,369,121
3088,109,227
3089,377,389
3090,355,97
3091,269,443
3092,203,437
3093,441,371
3094,401,213
3095,69,413
3096,289,293
3097,357,135
3098,131,389
3099,183,117
3100,405,353
3101,375,131
3102,415,175
3103,267,341
3104,209,439
3105,79,95
3106,93,77
3107,491,391
3108,83,71
3109,91,459
3110,299,339
3111,143,157
3112,377,301
3113,319,109
3114,95,319
3115,121,419
3116,271,155
3117,357,333
3118,83,153
3119,275,95
3120,315,169
3121,421,65
3122,71,481
3123,243,293
3124,487,319
3125,79,249
3126,227,127
3127,117,101
3128,193,75
3129,485,347
3130,179,467
3131,213,107
3132,135,111
3133,431,341
3134,309,179
3135,65,119
3136,75,389
3137,287,127
3138,457,221
3139,133,491
3140,439,111
3141,207,275
3142,171,103
3143,409,471
3144,427,65
3145,365,377
3146,315,447
3147,233,115
3148,141,459
3149,87,95
3150,265,499
3151,181,499
3152,255,179
3153,191,421
3154,389,353
3155,285,303
3156,299,359
3157,473,481
3158,291,305
3159,101,201
3160,101,387
3161,147,163
3162,209,145
3163,135,475
3164,321,363
3165,61,475
3166,253,479
3167,173,189
3168,75,371
3169,239,111
3170,125,449
3171,293,135
3172,69,489
3173,367,303
3174,111,197
3175,363,311
3176,363,273
3177,323,279
3178,355,99
3179,139,481
3180,321,325
3181,173,83
3182,229,315
3183,143,185
3184,125,353
3185,419,379
3186,367,243
3187,63,427
3188,123,209
3189,61,497
3190,165,471
3191,175,141
3192,487,355
3193,195,187
3194,419,343
3195,215,473
3196,71,375
3197,69,315
3198,267,395
3199,271,161
3200,425,333
3201,197,69
3202,453,465
3203,129,311
3204,285,443
3205,461,333
3206,281,447
3207,369,163
3208,413,63
3209,299,115
3210,345,99
3211,227,493
3212,107,347
3213,211,355
3214,411,219
3215,449,151
3216,71,173
3217,163,391
3218,385,347
3219,381,65
3220,79,345
3221,197,79
3222,91,391
3223,105,215
3224,141,291
3225,175,403
3226,111,379
3227,333,387
3228,159,135
3229,151,469
3230,337,63
3231,157,269
3232,467,395
3233,143,209
3234,255,181
3235,359,439
3236,243,99
3237,325,105
3238,377,273
3239,363,341
3240,195,475
3241,309,293
3242,77,139
3243,391,189
3244,479,189
3245,433,419
3246,265,209
3247,365,435
3248,431,375
3249,247,85
3250,311,85
3251,89,137
3252,417,295
3253,233,343
3254,117,283
3255,311,473
3256,223,65
3257,275,193
3258,167,369
3259,385,259
3260,253,315
3261,441,489
3262,201,271
3263,123,197
3264,169,163
3265,317,487
3266,419,427
3267,167,447
3268,295,437
3269,209,391
3270,171,133
3271,157,177
3272,263,155
3273,391,389
3274,447,411
3275,265,97
3276,361,373
3277,339,313
3278,165,375
3279,317,441
3280,175,279
3281,255,249
3282,371,339
3283,415,481
3284,345,163
3285,259,329
3286,61,77
3287,313,355
3288,295,65
3289,353,479
3290,155,225
3291,493,271
3292,139,279
3293,295,175
3294,109,357
3295,351,247
3296,295,277
3297,365,301
3298,143,413
3299,139,335
3300,105,161
3301,375,385
3302,169,163
3303,329,305
3304,83,137
3305,401,241
3306,63,151
3307,153,259
3308,459,421
3309,281,83
3310,451,307
3311,323,281
3312,223,335
3313,489,369
3314,325,115
3315,65,283
3316,251,325
3317,381,189
3318,373,159
3319,323,175
3320,283,103
3321,485,231
3322,143,459
3323,67,475
3324,417,285
3325,203,343
3326,119,273
3327,207,115
3328,135,243
3329,439,159
3330,289,239
3331,289,395
3332,177,335
3333,255,185
3334,81,179
3335,195,75
3336,97,121
3337,433,107
3338,183,77
3339,319,181
3340,389,105
3341,285,151
3342,185,155
3343,89,347
3344,133,305
3345,217,341
3346,483,279
3347,117,425
3348,75,369
3349,239,163
3350,345,451
3351,381,325
3352,127,131
3353,191,389
3354,207,413
3355,221,441
3356,425,427
3357,93,149
3358,389,353
3359,493,321
3360,367,289
3361,87,293
3362,375,99
3363,281,165
3364,107,201
3365,107,63
3366,213,303
3367,283,489
3368,219,323
3369,221,277
3370,307,375
3371,447,357
3372,261,161
3373,285,137
3374,151,331
3375,345,413
3376,457,271
3377,351,171
3378,99,479
3379,339,479
3380,369,377
3381,93,383
3382,417,105
3383,461,419
3384,181,317
3385,181,67
3386,481,311
3387,201,303
3388,73,367
3389,327,313
3390,315,361
3391,151,399
3392,243,393
3393,397,81
3394,217,115
3395,447,385
3396,285,251
3397,229,107
3398,377,121
3399,453,119
3400,277,383
3401,135,83
3402,295,103
3403,77,383
3404,301,375
3405,409,261
3406,61,277
3407,383,297
3408,339,127
3409,499,139
3410,227,165
3411,127,211
3412,469,319
3413,61,233
3414,415,147
3415,357,87
3416,427,467
3417,207,341
3418,361,223
3419,179,127
3420,483,427
3421,417,145
3422,153,419
3423,481,251
3424,279,145
3425,141,87
3426,321,291
3427,171,131
3428,127,207
3429,223,73
3430,363,85
3431,487,287
3432,277,225
3433,309,183
3434,161,135
3435,325,215
3436,341,287
3437,333,413
3438,439,203
3439,85,283
3440,67,177
3441,415,407
3442,287,141
3443,209,231
3444,397,267
3445,301,243
3446,87,101
3447,193,381
3448,61,271
3449,153,201
3450,101,75
3451,445,109
3452,213,277
3453,81,391
3454,101,67
3455,317,73
3456,359,95
3457,261,127
3458,63,461
3459,449,123
3460,341,269
3461,171,247
3462,357,263
3463,327,425
3464,141,363
3465,487,493
3466,271,255
3467,237,63
3468,453,97
3469,485,83
3470,425,141
3471,365,267
3472,385,359
3473,349,403
3474,201,481
3475,215,93
3476,225,475
3477,121,259
3478,313,327
3479,281,377
3480,379,329
3481,399,423
3482,489,283
3483,191,119
3484,489,261
3485,95,199
3486,197,299
3487,301,371
3488,219,63
3489,297,109
3490,83,341
3491,487,169
3492,297,219
3493,321,323
3494,415,117
3495,435,367
3496,341,449
3497,311,297
3498,401,333
3499,107,361
3500,233,407
3501,361,95
3502,183,93
3503,301,103
3504,437,253
3505,397,105
3506,127,285
3507,329,441
3508,299,175
3509,445,199
3510,277,245
3511,145,305
3512,435,317
3513,277,411
3514,75,131
3515,197,307
3516,143,193
3517,377,69
3518,173,123
3519,77,343
3520,137,117
3521,317,221
3522,119,335
3523,95,345
3524,341,367
3525,213,245
3526,149,497
3527,279,369
3528,465,215
3529,399,437
3530,413,313
3531,255,407
3532,83,269
3533,95,305
3534,427,323
3535,311,403
3536,487,341
3537,445,129
3538,301,493
3539,109,439
3540,467,477
3541,223,229
3542,281,497
3543,229,337
3544,395,333
3545,361,101
3546,207,317
3547,279,137
3548,479,95
3549,389,199
3550,303,73
3551,385,153
3552,487,471
3553,215,467
3554,445,91
3555,229,89
3556,315,469
3557,197,197
3558,253,87
3559,167,355
3560,191,273
3561,377,345
3562,179,81
3563,161,337
3564,443,95
3565,389,135
3566,445,63
3567,121,277
3568,339,375
3569,233,399
3570,407,183
3571,255,73
3572,387,333
3573,117,107
3574,319,113
3575,169,131
3576,277,163
3577,303,225
3578,327,141
3579,253,449
3580,241,491
3581,199,99
3582,345,245
3583,215,401
3584,351,495
3585,179,351
3586,213,421
3587,457,447
3588,225,257
3589,63,325
3590,105,475
3591,137,151
3592,339,175
3593,207,331
3594,77,271
3595,295,297
3596,287,415
3597,185,249
3598,247,333
3599,453,243
3600,115,65
3601,271,291
3602,271,373
3603,119,405
3604,311,437
3605,119,317
3606,253,455
3607,93,201
3608,223,495
3609,65,281
3610,87,359
3611,483,315
3612,487,323
3613,341,211
3614,89,317
3615,309,433
3616,395,119
3617,91,351
3618,253,345
3619,237,127
3620,185,479
3621,103,85
3622,319,133
3623,119,293
3624,371,371
3625,481,391
3626,263,229
3627,131,435
3628,87,383
3629,253,237
3630,289,419
3631,201,89
3632,367,451
3633,71,351
3634,487,493
3635,221,243
3636,151,205
3637,205,489
3638,97,495
3639,489,257
3640,495,393
3641,391,241
3642,363,119
3643,395,91
3644,243,137
3645,351,335
3646,97,401
3647,481,401
3648,163,215
3649,151,353
3650,435,433
3651,111,243
3652,497,275
3653,355,273
3654,119,421
3655,377,243
3656,317,193
3657,261,327
3658,285,329
3659,499,87
3660,147,229
3661,469,381
3662,323,93
3663,381,231
3664,379,481
3665,61,359
3666,441,351
3667,255,437
3668,271,257
3669,461,377
3670,207,205
3671,301,401
3672,127,151
3673,463,233
3674,129,241
3675,337,263
3676,405,349
3677,465,475
3678,291,271
3679,105,289
3680,323,465
3681,365,109
3682,275,313
3683,161,335
3684,81,173
3685,447,137
3686,265,131
3687,139,153
3688,263,181
3689,403,185
3690,469,325
3691,423,109
3692,173,403
3693,141,359
3694,289,115
3695,115,117
3696,67,295
3697,173,303
3698,113,465
3699,435,383
3700,183,401
3701,325,195
3702,367,145
3703,377,457
3704,439,395
3705,277,333
3706,437,135
3707,153,161
3708,127,187
3709,69,219
3710,125,269
3711,495,427
3712,259,387
3713,249,141
3714,407,167
3715,349,87
3716,235,121
3717,397,395
3718,447,99
3719,141,389
3720,311,441
3721,267,127
3722,99,469
3723,355,485
3724,217,171
3725,109,459
3726,265,405
3727,303,307
3728,493,159
3729,247,407
3730,195,101
3731,325,259
3732,463,231
3733,87,289
3734,265,443
3735,213,409
3736,311,373
3737,199,297
3738,237,309
3739,123,473
3740,195,65
3741,341,469
3742,149,215
3743,199,365
3744,159,309
3745,369,297
3746,185,171
3747,381,235
3748,425,461
3749,221,139
3750,245,329
3751,361,83
3752,167,349
3753,95,331
3754,403,491
3755,161,357
3756,367,77
3757,273,365
3758,183,371
3759,125,415
3760,229,95
3761,63,239
3762,313,331
3763,365,297
3764,355,261
3765,257,429
3766,405,221
3767,173,383
3768,67,135
3769,465,105
3770,293,239
3771,63,439
3772,83,419
3773,229,351
3774,195,331
3775,201,435
3776,419,81
3777,205,145
3778,107,355
3779,93,327
3780,495,115
3781,331,295
3782,467,309
3783,61,109
3784,165,315
3785,87,411
3786,203,159
3787,273,201
3788,125,149
3789,227,63
3790,307,145
3791,431,293
3792,357,341
3793,117,427
3794,169,493
3795,233,389
3796,463,439
3797,129,447
3798,321,369
3799,89,465
3800,377,491
3801,371,459
3802,355,171
3803,233,341
3804,195,277
3805,219,295
3806,181,113
3807,147,107
3808,253,95
3809,223,123
3810,81,147
3811,327,305
3812,391,191
3813,251,437
3814,171,267
3815,103,81
3816,81,385
3817,469,75
3818,309,409
3819,135,171
3820,461,469
3821,97,451
3822,319,415
3823,175,283
3824,233,167
3825,237,325
3826,427,293
3827,357,65
3828,199,491
3829,489,359
3830,461,367
3831,133,183
3832,447,357
3833,179,241
3834,103,107
3835,347,115
3836,485,429
3837,73,185
3838,115,113
3839,475,403
3840,143,173
3841,123,385
3842,457,425
3843,407,391
3844,461,299
3845,431,429
3846,373,461
3847,305,497
3848,317,249
3849,305,355
3850,373,209
3851,237,71
3852,327,435
3853,339,283
3854,207,437
3855,389,315
3856,399,449
3857,133,163
3858,465,425
3859,481,171
3860,235,221
3861,373,267
3862,77,237
3863,229,177
3864,397,287
3865,375,303
3866,361,143
3867,273,73
3868,225,485
3869,183,223
3870,207,135
3871,295,187
3872,461,461
3873,121,261
3874,263,307
3875,233,177
3876,315,465
3877,331,395
3878,481,419
3879,297,467
3880,497,229
3881,163,99
3882,155,65
3883,299,217
3884,205,335
3885,407,125
3886,445,331
3887,131,345
3888,267,453
3889,173,67
3890,211,385
3891,243,385
3892,217,209
3893,401,241
3894,483,145
3895,341,367
3896,143,381
3897,451,379
3898,419,183
3899,433,393
3900,165,219
3901,181,463
3902,105,369
3903,85,377
3904,321,201
3905,467,361
3906,99,371
3907,427,305
3908,229,497
3909,133,201
3910,71,89
3911,115,217
3912,99,495
3913,219,155
3914,285,409
3915,231,493
3916,321,333
3917,427,69
3918,293,155
3919,301,321
3920,175,141
3921,207,401
3922,287,267
3923,317,479
3924,419,243
3925,267,285
3926,425,325
3927,297,93
3928,483,473
3929,107,177
3930,413,227
3931,377,193
3932,377,257
3933,77,197
3934,373,319
3935,295,211
3936,307,89
3937,299,341
3938,375,227
3939,329,123
3940,169,99
3941,121,353
3942,97,491
3943,95,249
3944,85,345
3945,123,337
3946,433,401
3947,267,271
3948,231,497
3949,253,385
3950,239,71
3951,405,243
3952,253,333
3953,493,325
3954,263,203
3955,289,193
3956,175,151
3957,245,353
3958,145,237
3959,253,279
3960,99,231
3961,419,133
3962,331,73
3963,409,169
3964,447,163
3965,417,493
3966,131,191
3967,331,243
3968,271,125
3969,69,471
3970,277,89
3971,361,179
3972,259,345
3973,459,315
3974,117,437
3975,383,415
3976,109,147
3977,343,277
3978,383,247
3979,441,195
3980,167,251
3981,257,351
3982,417,433
3983,435,369
3984,367,479
3985,193,469
3986,123,293
3987,447,79
3988,71,65
3989,427,151
3990,415,267
3991,93,215
3992,77,325
3993,387,225
3994,419,241
3995,127,157
3996,323,123
3997,477,295
3998,325,499
3999,395,189
4000,401,439
4001,111,227
4002,85,197
4003,157,83
4004,167,319
4005,155,427
4006,333,451
4007,417,459
4008,157,247
4009,125,211
4010,367,237
4011,187,331
4012,443,423
4013,283,137
4014,483,241
4015,227,221
4016,475,177
4017,99,421
4018,441,93
4019,459,323
4020,291,239
4021,313,175
4022,63,447
4023,69,275
4024,315,435
4025,155,461
4026,449,235
4027,141,323
4028,65,97
4029,467,123
4030,305,287
4031,289,477
4032,295,439
4033,459,117
4034,405,199
4035,93,283
4036,329,409
4037,413,147
4038,155,165
4039,417,191
4040,69,499
4041,121,273
4042,291,469
4043,293,211
4044,155,453
4045,285,307
4046,243,147
4047,329,479
4048,373,375
4049,257,285
4050,175,433
4051,497,357
4052,347,275
4053,385,421
4054,169,111
4055,223,409
4056,319,331
4057,109,333
4058,157,161
4059,251,159
4060,201,121
4061,355,459
4062,283,405
4063,161,223
4064,307,291
4065,71,271
4066,391,91
4067,423,495
4068,447,405
4069,449,299
4070,195,223
4071,135,243
4072,233,401
4073,215,177
4074,195,83
4075,399,419
4076,99,105
4077,109,107
4078,385,299
4079,269,397
4080,257,169
4081,459,329
4082,253,327
4083,213,157
4084,141,171
4085,431,491
4086,313,263
4087,269,137
4088,125,223
4089,333,419
4090,105,311
4091,187,131
4092,121,269
4093,431,231
4094,143,199
4095,413,395
4096,309,257
4097,233,195
4098,453,469
4099,195,91
4100,89,79
4101,381,465
4102,279,209
4103,69,423
4104,265,377
4105,391,453
4106,149,337
4107,163,203
4108,287,183
4109,225,255
4110,467,287
4111,81,215
4112,187,97
4113,223,257
4114,367,155
4115,281,265
4116,281,307
4117,361,437
4118,219,309
4119,311,121
4120,203,421
4121,247,491
4122,145,75
4123,403,123
4124,225,441
4125,413,471
4126,313,357
4127,413,317
4128,107,421
4129,129,301
4130,419,369
4131,435,423
4132,257,355
4133,177,133
4134,353,433
4135,481,193
4136,75,327
4137,85,385
4138,83,463
